SettlementPoint,Year,Month,AveragePrice
HB_BUSAVG,2016,1,19.20930107526882
HB_HOUSTON,2016,1,19.565725806451614
HB_HUBAVG,2016,1,19.25869623655914
HB_NORTH,2016,1,19.133306451612903
HB_SOUTH,2016,1,19.21005376344086
HB_WEST,2016,1,19.126559139784945
LZ_AEN,2016,1,19.324663978494623
LZ_CPS,2016,1,19.353844086021507
LZ_HOUSTON,2016,1,19.56393817204301
LZ_LCRA,2016,1,19.317459677419354
LZ_NORTH,2016,1,19.187997311827957
LZ_RAYBN,2016,1,19.447943548387098
LZ_SOUTH,2016,1,19.481720430107526
LZ_WEST,2016,1,19.519260752688172
HB_BUSAVG,2016,2,15.288247126436781
HB_HOUSTON,2016,2,15.464540229885058
HB_HUBAVG,2016,2,15.269252873563218
HB_NORTH,2016,2,15.292658045977012
HB_SOUTH,2016,2,15.333591954022989
HB_WEST,2016,2,14.988663793103447
LZ_AEN,2016,2,15.448290229885057
LZ_CPS,2016,2,15.520014367816092
LZ_HOUSTON,2016,2,15.487988505747127
LZ_LCRA,2016,2,15.488548850574713
LZ_NORTH,2016,2,15.46221264367816
LZ_RAYBN,2016,2,15.400431034482759
LZ_SOUTH,2016,2,15.935862068965518
LZ_WEST,2016,2,15.04448275862069
HB_BUSAVG,2016,3,16.755625841184386
HB_HOUSTON,2016,3,17.124952893674294
HB_HUBAVG,2016,3,16.654347240915207
HB_NORTH,2016,3,16.859367429340512
HB_SOUTH,2016,3,16.763109017496635
HB_WEST,2016,3,15.871668909825033
LZ_AEN,2016,3,16.85507402422611
LZ_CPS,2016,3,16.898183041722746
LZ_HOUSTON,2016,3,17.206729475100943
LZ_LCRA,2016,3,16.796298788694482
LZ_NORTH,2016,3,17.46150740242261
LZ_RAYBN,2016,3,17.117240915208615
LZ_SOUTH,2016,3,19.521144010767163
LZ_WEST,2016,3,16.00265141318977
HB_BUSAVG,2016,4,18.289347222222222
HB_HOUSTON,2016,4,18.940958333333334
HB_HUBAVG,2016,4,18.16686111111111
HB_NORTH,2016,4,18.350666666666665
HB_SOUTH,2016,4,18.51290277777778
HB_WEST,2016,4,16.86275
LZ_AEN,2016,4,18.256069444444442
LZ_CPS,2016,4,19.06936111111111
LZ_HOUSTON,2016,4,19.128930555555556
LZ_LCRA,2016,4,18.392708333333335
LZ_NORTH,2016,4,19.08763888888889
LZ_RAYBN,2016,4,18.85536111111111
LZ_SOUTH,2016,4,20.738
LZ_WEST,2016,4,17.153666666666666
HB_BUSAVG,2016,5,18.159583333333334
HB_HOUSTON,2016,5,19.174086021505378
HB_HUBAVG,2016,5,18.247002688172042
HB_NORTH,2016,5,17.905631720430108
HB_SOUTH,2016,5,18.57045698924731
